tmstamp,loadcell_5f
2023-12-13 17:40:00,1929.5125
2023-12-13 17:45:00,1928.2625
2023-12-13 17:50:00,1928.2625
2023-12-13 17:55:00,1928.2625
2023-12-13 18:00:00,1928.2625
2023-12-13 18:05:00,1927.0125
2023-12-13 18:10:00,1927.0125
2023-12-13 18:15:00,1925.7625
2023-12-13 18:20:00,1927.0125
2023-12-13 18:25:00,1927.0125
2023-12-13 18:30:00,1925.7625
2023-12-13 18:35:00,1925.7625
2023-12-13 18:40:00,1924.5125
2023-12-13 18:45:00,1924.5125
2023-12-13 18:50:00,1924.5125
2023-12-13 18:55:00,1924.5125
2023-12-13 19:00:00,1923.2625
2023-12-13 19:05:00,1923.2625
2023-12-13 19:10:00,1923.2625
2023-12-13 19:15:00,1923.2625
2023-12-13 19:20:00,1923.2625
2023-12-13 19:25:00,1923.2625
2023-12-13 19:30:00,1922.0125
2023-12-13 19:35:00,1922.0125
2023-12-13 19:40:00,1922.0125
2023-12-13 19:45:00,1922.0125
2023-12-13 19:50:00,1922.0125
2023-12-13 19:55:00,1922.0125
2023-12-13 20:00:00,1920.7625
2023-12-13 20:05:00,1920.7625
2023-12-13 20:10:00,1920.7625
2023-12-13 20:15:00,1920.7625
2023-12-13 20:20:00,1920.7625
2023-12-13 20:25:00,1920.7625
2023-12-13 20:30:00,1920.7625
2023-12-13 20:35:00,1920.7625
2023-12-13 20:40:00,1919.5125
2023-12-13 20:45:00,1919.5125
2023-12-13 20:50:00,1919.5125
2023-12-13 20:55:00,1919.5125
2023-12-13 21:00:00,1918.2625
2023-12-13 21:05:00,1918.2625
2023-12-13 21:10:00,1918.2625
2023-12-13 21:15:00,1918.2625
2023-12-13 21:20:00,1918.2625
2023-12-13 21:25:00,1918.2625
2023-12-13 21:30:00,1918.2625
2023-12-13 21:35:00,1918.2625
2023-12-13 21:40:00,1918.2625
2023-12-13 21:45:00,1918.2625
2023-12-13 21:50:00,1918.2625
2023-12-13 21:55:00,1917.0125
2023-12-13 22:00:00,1917.0125
2023-12-13 22:05:00,1917.0125
2023-12-13 22:10:00,1917.0125
2023-12-13 22:15:00,1917.0125
2023-12-13 22:20:00,1917.0125
2023-12-13 22:25:00,1915.7625
2023-12-13 22:30:00,1915.7625
2023-12-13 22:35:00,1915.7625
2023-12-13 22:40:00,1914.5125
2023-12-13 22:45:00,1914.5125
2023-12-13 22:50:00,1914.5125
2023-12-13 22:55:00,1914.5125
2023-12-13 23:00:00,1914.5125
2023-12-13 23:05:00,1913.2625
2023-12-13 23:10:00,1913.2625
2023-12-13 23:15:00,1913.2625
2023-12-13 23:20:00,1913.2625
2023-12-13 23:25:00,1913.2625
2023-12-13 23:30:00,1912.0125
2023-12-13 23:35:00,1912.0125
2023-12-13 23:40:00,1913.2625
2023-12-13 23:45:00,1913.2625
2023-12-13 23:50:00,1913.2625
2023-12-13 23:55:00,1912.0125
2023-12-14 00:00:00,1912.0125
2023-12-14 00:05:00,1912.0125
2023-12-14 00:10:00,1912.0125
2023-12-14 00:15:00,1910.7625
2023-12-14 00:20:00,1910.7625
2023-12-14 00:25:00,1912.0125
2023-12-14 00:30:00,1912.0125
2023-12-14 00:35:00,1910.7625
2023-12-14 00:40:00,1910.7625
2023-12-14 00:45:00,1910.7625
2023-12-14 00:50:00,1910.7625
2023-12-14 00:55:00,1912.0125
2023-12-14 01:00:00,1912.0125
2023-12-14 01:05:00,1912.0125
2023-12-14 01:10:00,1910.7625
2023-12-14 01:15:00,1909.5125
2023-12-14 01:20:00,1909.5125
2023-12-14 01:25:00,1908.2625
2023-12-14 01:30:00,1908.2625
2023-12-14 01:35:00,1908.2625
2023-12-14 01:40:00,1908.2625
2023-12-14 01:45:00,1908.2625
2023-12-14 01:50:00,1907.0125
2023-12-14 01:55:00,1907.0125
2023-12-14 02:00:00,1907.0125
2023-12-14 02:05:00,1907.0125
2023-12-14 02:10:00,1907.0125
2023-12-14 02:15:00,1905.7625
2023-12-14 02:20:00,1907.0125
2023-12-14 02:25:00,1905.7625
2023-12-14 02:30:00,1905.7625
2023-12-14 02:35:00,1905.7625
2023-12-14 02:40:00,1905.7625
2023-12-14 02:45:00,1905.7625
2023-12-14 02:50:00,1905.7625
2023-12-14 02:55:00,1904.5125
2023-12-14 03:00:00,1905.7625
2023-12-14 03:05:00,1904.5125
2023-12-14 03:10:00,1904.5125
2023-12-14 03:15:00,1905.7625
2023-12-14 03:20:00,1905.7625
2023-12-14 03:25:00,1905.7625
2023-12-14 03:30:00,1905.7625
2023-12-14 03:35:00,1905.7625
2023-12-14 03:40:00,1905.7625
